,0
start_time,2019-01-01 00:00:00
end_time,2019-12-31 23:45:00
n,35040
CV,25.182538442952215
MAE,14.56294397930851
MAPE,18.49147340104478
OPE,12.011312348811149
RMSE,18.5368834664832
MSE,343.6160486499782
MARRE,20.284601137586353
MASE,3.212519841334101
R2,-0.33938149002697693
SMAPE,20.13237664330452
