,consumed_rate,generated_rate,marginal_rate
2019-01-01 22:30:00,260.2476222,212.0977118,520.2941264
2019-01-01 22:45:00,260.2476222,225.6240967,691.4639614
2019-01-01 23:00:00,331.8000594,238.7376904,259.5027918
2019-01-01 23:15:00,331.8000594,256.7724398,288.5917415
2019-01-01 23:30:00,331.8000594,278.3032153,449.6276885
2019-01-01 23:45:00,331.8000594,323.3862938,513.8288807
2019-01-02 00:00:00,482.4968373,358.2806595,403.3133852
2019-01-02 00:15:00,482.4968373,405.866878,759.7925627
2019-01-02 00:30:00,482.4968373,431.1275848,699.2426955
2019-01-02 00:45:00,482.4968373,461.6912814,409.9040753
2019-01-02 01:00:00,543.7240132,477.9861226,189.5461638
2019-01-02 01:15:00,543.7240132,465.312109,160.7801509
2019-01-02 01:30:00,543.7240132,468.772974,789.4427454
2019-01-02 01:45:00,543.7240132,474.4086212,624.4256417
2019-01-02 02:00:00,556.3452128,472.4926434,249.6070639
2019-01-02 02:15:00,556.3452128,474.8345422,422.5799388
2019-01-02 02:30:00,556.3452128,474.4794961,661.8694238
2019-01-02 02:45:00,556.3452128,470.4410782,351.8440996
2019-01-02 03:00:00,560.3204816,472.3579121,127.7986184
2019-01-02 03:15:00,560.3204816,475.5702983,266.5440163
2019-01-02 03:30:00,560.3204816,468.9599877,282.1717219
2019-01-02 03:45:00,560.3204816,471.1270421,273.6648463
2019-01-02 04:00:00,563.340225,474.0915053,28.57310919
2019-01-02 04:15:00,563.340225,480.1584185,40.9580238
2019-01-02 04:30:00,563.340225,485.0923894,515.3724755
2019-01-02 04:45:00,563.340225,484.0101629,160.1740954
2019-01-02 05:00:00,577.1182511,488.3495519,113.4767289
2019-01-02 05:15:00,577.1182511,500.1458078,707.2046479
2019-01-02 05:30:00,577.1182511,499.7335542,241.8345529
2019-01-02 05:45:00,577.1182511,504.5527351,138.5545707
2019-01-02 06:00:00,588.1312713,496.2154023,630.8838019
2019-01-02 06:15:00,588.1312713,486.6723765,765.7084062
2019-01-02 06:30:00,588.1312713,494.7991114,267.9006485
2019-01-02 06:45:00,588.1312713,503.3961564,231.792605
2019-01-02 07:00:00,612.0345103,507.0907565,241.8196801
2019-01-02 07:15:00,612.0345103,502.5341902,758.1619352
2019-01-02 07:30:00,612.0345103,499.65735,333.44343
2019-01-02 07:45:00,612.0345103,502.9190362,407.2586884
2019-01-02 08:00:00,568.0268534,51.03956113,838.0081117
2019-01-02 08:15:00,568.0268534,52.83479327,19.85451953
2019-01-02 08:30:00,568.0268534,51.25677071,4.528565702
2019-01-02 08:45:00,568.0268534,52.41206871,42.43600055
2019-01-02 09:00:00,576.6667285,52.08959979,34.03631919
2019-01-02 09:15:00,576.6667285,54.48180686,2.956170521
2019-01-02 09:30:00,576.6667285,54.50159324,13.35926882
2019-01-02 09:45:00,576.6667285,53.73080451,29.14140031
2019-01-02 10:00:00,579.9422563,54.32794989,29.79628827
2019-01-02 10:15:00,579.9422563,54.96398534,38.10175338
2019-01-02 10:30:00,579.9422563,54.08343522,71.47115883
2019-01-02 10:45:00,579.9422563,54.09382594,25.07939309
2019-01-02 11:00:00,577.5317356,54.0444953,248.5907843
2019-01-02 11:15:00,577.5317356,53.74786486,38.10175338
2019-01-02 11:30:00,577.5317356,53.99568424,26.4726927
