,days_ahead,exp_alpha,MAE_1,MAE_4,MAE_24,MAE_48,MAE_72,MAE_96
0,3.0,1.1,61.22721019570682,78.18537050202302,86.16681047463194,86.99627042252294,87.39669000423834,87.6127385582611
1,3.0,1.2,63.57744941597095,79.35939599052293,86.3688555429068,87.09729295665332,87.46403836032661,87.6632498253272
2,3.0,1.3,65.74000604264313,80.36936387255959,86.5409179674735,87.18332416893725,87.52139250184841,87.7062654314678
3,3.0,1.4,67.72921068776738,81.24217366996527,86.68857987588348,87.2571551231429,87.57061313798434,87.7431809085708
4,3.0,1.5,69.55081892137683,81.9976492997274,86.81578243302428,87.3207564017124,87.61301399036479,87.77498154785633
5,4.0,1.1,60.7214076262308,77.5595633957783,85.45505420005308,86.27958752516426,86.69015563608193,86.91268876231993
6,4.0,1.2,63.05545923227762,78.72081838850914,85.65467006854509,86.37939545940338,86.75669425890867,86.96259272944047
7,4.0,1.3,65.20363554507014,79.7205240903078,85.82485748518513,86.46448916772229,86.81342339778799,87.00513958359983
8,4.0,1.4,67.17465252675355,80.58243358407465,85.97060519410044,86.53736302218051,86.86200596742682,87.04157651082934
9,4.0,1.5,68.98092176281605,81.3287110604575,86.09621851264714,86.60016968145516,86.9038770736081,87.07297984046575
10,5.0,1.1,61.40013649195398,78.51488132073983,86.54362797365947,87.38053137684236,87.79197567173024,88.01504726766916
11,5.0,1.2,63.7746755650333,79.69915509064414,86.74706224558363,87.48224851279797,87.85978709570206,88.06590583564653
12,5.0,1.3,65.9662515102319,80.71878886393158,86.9205532461102,87.56899401306079,87.91761742921072,88.10927858577828
13,5.0,1.4,67.97612187705712,81.59740171363086,87.06907552414123,87.64325515207608,87.9671248552207,88.14640915528608
14,5.0,1.5,69.81477365296087,82.3570083306479,87.19690453910566,87.70716965955843,88.0097345268764,88.17836640902723
15,6.0,1.1,61.90053214749676,79.18931055460493,87.31499565187113,88.16337118939036,88.58340237638726,88.81132437060299
16,6.0,1.2,64.30389007262134,80.3898714911422,87.52124669093608,88.2664967089165,88.6521527227387,88.86288713036588
17,6.0,1.3,66.5149081234692,81.42182632044023,87.69685322627288,88.35429997658312,88.7106882345167,88.90678876419899
18,6.0,1.4,68.54416136158264,82.31145892841596,87.84724829941746,88.4294975131558,88.76081992556489,88.94438753248515
19,6.0,1.5,70.40209940631297,83.08066146658038,87.97669758486228,88.4942221558786,88.80396968737973,88.97674985384587
20,7.0,1.1,62.15264238558243,79.54455668461186,87.70297145902828,88.55074297647937,88.9616064808871,89.18450216228577
21,7.0,1.2,64.57713107960443,80.75423632707704,87.91061741049856,88.65456595220793,89.03082179803916,89.23641365015074
22,7.0,1.3,66.80575093932728,81.79204155555367,88.08712469537663,88.74281959464655,89.08965755966503,89.28054047137039
23,7.0,1.4,68.84786355413904,82.68524056606569,88.23807107947052,88.81829278669323,89.13997302102932,89.31827706739317
24,7.0,1.5,70.71771647066214,83.45714563303056,88.36794648835732,88.8832304911367,89.18326482399209,89.35074591961508
25,8.0,1.1,62.36798001934616,79.83480367322561,88.02862217090485,88.87850890204547,89.28532850776435,89.50597270685735
26,8.0,1.2,64.79963191030693,81.04946453509075,88.23717580378529,88.98278571847904,89.35484638538733,89.55811111507445
27,8.0,1.3,67.03693212493204,82.09158880344137,88.4144476789081,89.07142165604057,89.41393701042779,89.60242908385497
28,8.0,1.4,69.08995503842284,82.98875308699664,88.5660817064726,89.14723866982256,89.46448168628295,89.6403375907461
29,8.0,1.5,70.96922820162617,83.76418370081481,88.69656006635704,89.2124778497642,89.50797447291146,89.67295718071686
30,9.0,1.1,62.56951239169687,80.10992320255144,88.35071246747128,89.20621271328059,89.61536002408194,89.83718554369048
31,9.0,1.2,65.01299749608364,81.333119780209,88.56075356548357,89.31123326228031,89.6853737234148,89.88969581819023
32,9.0,1.3,67.25991655359398,82.38184153290669,88.73915880851459,89.4004358837959,89.74484213775777,89.93429712894776
33,9.0,1.4,69.32326972088605,83.28459773101855,88.8917450552825,89.47672900717876,89.79570422001407,89.97244369064028
34,9.0,1.5,71.21267403950539,84.06504399234896,89.02307062740532,89.5423917932407,89.83947941072167,90.00527508367018
35,10.0,1.1,62.69302991936578,80.23792731267208,88.4811388921586,89.3378156295299,89.74920957344919,89.97206540415795
36,10.0,1.2,65.13694062908215,81.4611682036205,88.69116641295363,89.44282938992043,89.81921874704243,90.02457228435368
37,10.0,1.3,67.38354631738812,82.50990283986339,88.8695530183151,89.53202269260146,89.87868094882877,90.06916893569412
38,10.0,1.4,69.44782380619502,83.41308762204612,89.0221946159471,89.60834349141749,89.92956148137286,90.10732933510286
39,10.0,1.5,71.33919188971953,84.19384884041739,89.15356285898821,89.67402761293697,89.97335089571972,90.14017139586191
40,11.0,1.1,62.85817472597509,80.44348121057723,88.68114774084893,89.53415900633406,89.93671982577455,90.15447085417364
41,11.0,1.2,65.31261180653708,81.66685272606014,88.89106946644421,89.63911986912373,90.00669373430273,90.20695128556879
42,11.0,1.3,67.568831687391,82.71539310520019,89.06935511391508,89.72826269285898,90.0661222834584,90.25152269743575
43,11.0,1.4,69.63820982069862,83.61792212940348,89.22184670377511,89.80450848778855,90.11695281341035,90.28964559490012
44,11.0,1.5,71.53145902229944,84.39800902717369,89.35307993650291,89.87012510415325,90.1606972243212,90.3224539030822
45,12.0,1.1,62.89280918370517,80.51799678286652,88.76933058724158,89.62490649337829,90.03071684244487,90.25020331961778
46,12.0,1.2,65.3580341992898,81.74481619822781,88.97982349604457,89.73015294777186,90.10088114537595,90.302826546815
47,12.0,1.3,67.62485155293574,82.7960966234784,89.1585683356036,89.81952536755222,90.16046275856131,90.3475127567061
48,12.0,1.4,69.70287642012059,83.70136624597976,89.31151975113622,89.89600107531773,90.21144656373858,90.38575061058722
49,12.0,1.5,71.60485722675867,84.48411718366737,89.4431993952946,89.96184089739745,90.25533977845855,90.41867052162658
50,13.0,1.1,62.97965352660468,80.67759357911233,88.96236673593555,89.82242008187627,90.23270549241643,90.45463172346349
51,13.0,1.2,65.45975125002796,81.91142992207634,89.17403172237911,89.92825257508932,90.30326048789128,90.50754797007053
52,13.0,1.3,67.73945204112512,82.96903562854183,89.35383512854997,90.01815427817488,90.36319495661624,90.55249882161209
53,13.0,1.4,69.82810726147626,83.87897487946977,89.50756619643576,90.09501981211757,90.4144386459107,90.5909315885844
54,13.0,1.5,71.737087954785,84.66477713796208,89.63975434523235,90.16111388651542,90.45850136217649,90.62397862578318
55,14.0,1.1,63.243130785875685,81.04776977350078,89.38267647041653,90.24837509703033,90.66253706475445,90.88652999147583
56,14.0,1.2,65.7424222029121,82.29161409781723,89.59598414984349,90.3550289367365,90.73363962455984,90.93985691132849
57,14.0,1.3,68.0388076032757,83.35713291366109,89.77708556053318,90.44557964208069,90.79400676145515,90.98513226400087
58,14.0,1.4,70.14314637037606,84.27343296222323,89.93186858006081,90.52297115184486,90.84560110129841,91.02382801888311
59,14.0,1.5,72.06879093294374,85.06490893566773,90.06499731361978,90.58953551862369,90.88997734581767,91.05711020227223
60,15.0,1.1,63.3696400902712,81.26085114859384,89.64725854893717,90.51858813774092,90.93627238839325,91.16210734411723
61,15.0,1.2,65.87972895942076,82.51322188897942,89.86212229619026,90.62602001135932,91.00789363747391,91.2158232809284
62,15.0,1.3,68.18873369242165,83.58586000656672,90.04448979220598,90.71720375936773,91.06868280281276,91.26141515493191
63,15.0,1.4,70.30662423695335,84.50853469795939,90.20037832962689,90.79514802807773,91.1206456486188,91.30038728928665
64,15.0,1.5,72.24356773030392,85.30517502998407,90.33439238476329,90.86215505564662,91.16531700033163,91.33389080307067
65,16.0,1.1,63.35270250257928,81.24883601204695,89.63520837077583,90.50724654250733,90.92698199680805,91.15393933007843
66,16.0,1.2,65.86922548439372,82.50191925637128,89.85020522230799,90.61474496826696,90.99864761398118,91.2076885429587
67,16.0,1.3,68.18155457185172,83.57516346685834,90.03268466719803,90.70598469071163,91.05947409561087,91.2533084041798
68,16.0,1.4,70.29972866262295,84.49728854520012,90.1884866204185,90.78388566732283,91.11140808001643,91.29225889248617
69,16.0,1.5,72.23546229133858,85.29333152643342,90.32240434868835,90.85084453145733,91.15604732277376,91.32573832455323
70,17.0,1.1,63.3640426331858,81.26409280579263,89.63049728021335,90.501070675664,90.92215797807496,91.1498992642375
71,17.0,1.2,65.88136515013282,82.51444118578625,89.84487878959568,90.6082614303466,90.99361848119558,91.20349464157978
72,17.0,1.3,68.19453643327157,83.5849264355833,90.02680264729028,90.69922335919446,91.05425976709446,91.24897560600274
73,17.0,1.4,70.31137997283321,84.5046356180364,90.18214725437996,90.7768956627395,91.10604130279232,91.28781175777515
74,17.0,1.5,72.24796207656235,85.29918702321298,90.31578444423656,90.84371425766706,91.1505870327441,91.32122105524016
75,18.0,1.1,63.330949742653864,81.20532497221777,89.56417607425114,90.43272988737391,90.84886093542535,91.0734790025699
76,18.0,1.2,65.84826922860563,82.45459480584722,89.77837274594391,90.5398282232122,90.92025982598493,91.1270281704883
77,18.0,1.3,68.16050699695941,83.52441153504775,89.96018283514816,90.63073326781377,90.98086318905169,91.17248069278958
78,18.0,1.4,70.27700023889368,84.44407378551551,90.11552061460621,90.70840215754292,91.03264244887085,91.21131513765296
79,18.0,1.5,72.2105282622681,85.23803636727234,90.24905963491035,90.77517166769516,91.07715545563869,91.24469989273038
80,19.0,1.1,63.32467339601538,81.20173863366044,89.55468984259713,90.42333569637385,90.84125496091684,91.06687990221158
81,19.0,1.2,65.84371895398638,82.45087051265453,89.76877190927823,90.53037672970676,90.91261564980596,91.12040041887971
82,19.0,1.3,68.1568716105402,83.51996714872396,89.95041166730807,90.62119660872186,90.97316223581625,91.16581035838635
83,19.0,1.4,70.27228241496273,84.43851850845795,90.10553371177582,90.69875763095577,91.02486958397184,91.20459086950369
84,19.0,1.5,72.20378597139484,85.2311585753954,90.23883475088724,90.7654081505111,91.06930326367622,91.23791612928161
85,20.0,1.1,63.48743200938803,81.39839732162513,89.77011948922929,90.64116282090463,91.06076424149518,91.28725027738561
86,20.0,1.2,66.01273618163341,82.65056977832558,89.98471763044823,90.74846189150625,91.1322969552299,91.3408998126874
87,20.0,1.3,68.32868091949831,83.72230113510072,90.16679858528082,90.83950236892221,91.19299060684045,91.38642005139484
88,20.0,1.4,70.44706071412905,84.64265533033456,90.3222242660356,90.91721520929948,91.2447991670919,91.4252764715835
89,20.0,1.5,72.38083581818499,85.43673167381704,90.45576815921942,90.9839871558915,91.2893137981534,91.45866244488035
90,21.0,1.1,63.68314993411421,81.64499654162582,90.04316735677817,90.91696917893056,91.33846280911807,91.56596091359445
91,21.0,1.2,66.21339546828959,82.90027645781797,90.25835720748478,91.02456410427725,91.41019275934869,91.61975837626854
92,21.0,1.3,68.53533729499186,83.97501594009839,90.44098266129423,91.1158768311807,91.47106791061897,91.66541473971996
93,21.0,1.4,70.65986550051227,84.89823789346985,90.59691097304784,91.19384098705792,91.52304401453708,91.70439681765794
94,21.0,1.5,72.59957128815914,85.69475073702301,90.73087393439033,91.26082246773029,91.56769833498393,91.73788755799369
