DateTime,RealPower
2015-01-22 16:45:00,11.69
2015-01-22 17:00:00,2.526
2015-01-22 17:15:00,0.0219999999999999
2015-01-22 17:30:00,-0.236
2015-01-22 17:45:00,0.004
2015-01-22 18:00:00,0.004
2015-01-22 18:15:00,0.005
2015-01-22 18:30:00,0.004
2015-01-22 18:45:00,0.002
2015-01-22 19:00:00,0.003
2015-01-22 19:15:00,0.001
2015-01-22 19:30:00,0.006
2015-01-22 19:45:00,0.006
2015-01-22 20:00:00,0.004
2015-01-22 20:15:00,0.006
2015-01-22 20:30:00,0.006
2015-01-22 20:45:00,0.005
2015-01-22 21:00:00,0.006
2015-01-22 21:15:00,0.005
2015-01-22 21:30:00,0.004
2015-01-22 21:45:00,0.005
2015-01-22 22:00:00,0.002
2015-01-22 22:15:00,0.004
2015-01-22 22:30:00,0.003
2015-01-22 22:45:00,0.004
2015-01-22 23:00:00,0.005
2015-01-22 23:15:00,0.004
2015-01-22 23:30:00,0.004
2015-01-22 23:45:00,0.006
2015-01-23 00:00:00,0.006
2015-01-23 00:15:00,0.012
2015-01-23 00:30:00,0.004
2015-01-23 00:45:00,0.002
2015-01-23 01:00:00,0.002
2015-01-23 01:15:00,0.003
2015-01-23 01:30:00,0.003
2015-01-23 01:45:00,0.004
2015-01-23 02:00:00,0.002
2015-01-23 02:15:00,0.001
2015-01-23 02:30:00,0.001
2015-01-23 02:45:00,0.0
2015-01-23 03:00:00,0.001
2015-01-23 03:15:00,0.002
2015-01-23 03:30:00,0.002
2015-01-23 03:45:00,0.002
2015-01-23 04:00:00,0.002
2015-01-23 04:15:00,0.001
2015-01-23 04:30:00,0.0
2015-01-23 04:45:00,0.007
2015-01-23 05:00:00,0.008
2015-01-23 05:15:00,0.006
2015-01-23 05:30:00,0.004
2015-01-23 05:45:00,0.004
2015-01-23 06:00:00,0.002
2015-01-23 06:15:00,0.003
2015-01-23 06:30:00,0.002
2015-01-23 06:45:00,-0.06
2015-01-23 07:00:00,-0.224
2015-01-23 07:15:00,0.0819999999999999
2015-01-23 07:30:00,2.161
2015-01-23 07:45:00,11.159
2015-01-23 08:00:00,21.151
2015-01-23 08:15:00,33.836
2015-01-23 08:30:00,45.607
2015-01-23 08:45:00,59.014
2015-01-23 09:00:00,71.857
2015-01-23 09:15:00,82.555
2015-01-23 09:30:00,92.403
2015-01-23 09:45:00,101.394
2015-01-23 10:00:00,109.596
2015-01-23 10:15:00,115.867
2015-01-23 10:30:00,121.987
2015-01-23 10:45:00,127.61
2015-01-23 11:00:00,132.842
